,animal,lesion_extent,session,N_pCell_left,N_pCell_right,N_sig_RO,N_all_RO,pv_RO,prcnt_RO,N_sig_PR,N_all_PR,pv_PR,prcnt_PR,group
0,614,90.0,D1,25,17,17,201,0.033540040504,8.45771144279,32,248,1.0700331982e-06,12.9032258065,control
1,614,,D2,17,17,7,120,0.671853270207,5.83333333333,22,183,0.000220701197989,12.0218579235,control
2,614,,D3,14,19,27,380,0.0756507353878,7.10526315789,73,534,1.39765570491e-14,13.670411985,control
3,616,,D1,25,19,4,51,0.323683507474,7.8431372549,20,133,1.09938570027e-05,15.037593985,control
4,3661,,D1,22,20,30,282,0.000103695589462,10.6382978723,70,399,8.18876047491e-20,17.5438596491,control
5,3661,,D2,21,20,27,247,0.000176197021657,10.9311740891,62,369,8.35723714891e-17,16.8021680217,control
6,3661,,D3,24,23,45,492,0.000112479762016,9.14634146341,76,589,8.62059934924e-14,12.9032258065,control
7,3906,,D1,45,47,52,379,6.60286992982e-11,13.7203166227,51,389,5.06822068787e-10,13.1105398458,control
8,3906,,D2,45,40,13,266,1.0,4.88721804511,23,327,0.0978200774207,7.03363914373,control
9,3906,,D3,32,40,16,224,0.163948918889,7.14285714286,46,268,3.18230943798e-13,17.1641791045,control
10,3906,,D4,38,39,74,436,5.40582748459e-20,16.9724770642,93,478,3.09958022944e-29,19.4560669456,control
11,3903,,D1,14,15,3,65,1.0,4.61538461538,13,140,0.0300812940787,9.28571428571,lesion
12,3903,,D2,8,7,0,7,1.0,0.0,4,44,0.281184922675,9.09090909091,lesion
13,3903,,D3,5,6,0,0,1.0,,0,5,1.0,0.0,lesion
14,3903,,D4,10,7,0,7,1.0,0.0,3,12,0.0195682619972,25.0,lesion
15,3838,85.2,D1,6,6,0,2,1.0,0.0,6,19,0.00024068987676,31.5789473684,lesion
16,3838,85.2,D2,16,18,5,162,0.364415566868,3.08641975309,10,251,0.56225006681,3.98406374502,lesion
17,3838,85.2,D3,10,12,10,213,1.0,4.69483568075,55,348,6.02297417455e-14,3.98406374502,lesion
18,3838,85.2,D4,12,18,1,19,1.0,5.26315789474,0,46,0.17308010702,0.0,lesion
19,3837,99.0,D1,12,13,13,122,0.0101467505135,10.6557377049,29,244,2.01235617145e-05,11.8852459016,lesion
20,3837,99.0,D3,9,11,0,66,0.080281796679,0.0,19,128,2.17292308612e-05,14.84375,lesion
21,3837,99.0,D4,4,5,0,0,1.0,,1,1,0.05,,lesion
22,3754,95.6,D2,6,5,0,1,1.0,0.0,1,6,0.264908109375,16.6666666667,lesion
23,3754,95.6,D2,12,11,2,45,1.0,4.44444444444,11,86,0.00373111546251,12.7906976744,lesion
24,3656,100.0,D1,13,14,8,123,0.405481435871,6.50406504065,29,190,9.64791631565e-08,15.2631578947,lesion
25,3656,100.0,D2,15,15,8,81,0.0652158193242,9.87654320988,18,141,0.000253525646682,12.7659574468,lesion
26,434,84.5,D1,43,43,35,276,5.24783183101e-07,12.6811594203,37,293,2.81932114924e-07,12.6279863481,lesion
27,405,74.5,D1,11,13,12,149,0.0900514195782,8.05369127517,16,223,0.162964287265,7.17488789238,lesion
